,Degree,Id,Label,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Views,Weight,Main topic,Subtopic
1938,2.0,3551092.0,Nutbush City Limits,0.9981998205184937,Q1607460,Culture.Media.Media*,192.0,5499.0,192.0,11.0,192.0,10.6418915,1.445799,-24.527557,3656.0,1.9963996410369873,Culture,Media*
1939,5.0,3552115.0,Sergeant at Arms of the United States House of Representatives,0.26285186409950256,Q7453413,History_and_Society.Politics_and_government,225.0,18407.2555636264,71.0,6.0,228.0,12.567568,14.617242999999998,-12.238641000000001,3554.0,1.3142593204975128,History_and_Society,Politics_and_government
1940,27.0,3554861.0,The Limited Series (2005 album),0.9982553720474244,Q7747377,Culture.Media.Music,192.0,9.696324590442234,192.0,42.0,192.0,26.689190000000004,-10.258916000000001,-3.2991161,1546.0,26.95289504528046,Culture,Music
1941,5.0,3561991.0,Alexander Luthor Jr.,0.9496793746948242,Q1982474,Culture.Literature,192.0,12.333333333333332,192.0,16.0,192.0,12.567568,-15.910293,21.308132,5318.0,4.748396873474121,Culture,Literature
1942,11.0,3566083.0,New England Patriots Radio Network,0.2653036584854126,Q16213228,Geography.Regions.Americas.North_America,65.0,13694.899761165547,15.0,23.0,255.0,16.418919,6.362362,-22.80398,4443.0,2.9183402433395385,Geography,North_America
1943,4.0,3574309.0,Julian Castro,0.9867871999740601,Q970720,Culture.Biography.Biography*,54.0,13135.559320444067,159.0,5.0,0.0,11.925675,-0.9273326,-6.534453,64428.0,3.9471487998962402,Culture,Biography*
1944,5.0,3575334.0,VMGR-152,0.9566442370414734,Q7907255,History_and_Society.Military_and_warfare,97.0,37079.383507272796,136.0,34.0,0.0,12.567568,1.3479306999999998,-14.466598000000001,2579.0,4.783221185207367,History_and_Society,Military_and_warfare
1945,1.0,3583570.0,Willis Island,0.9990402460098268,Q3179368,Geography.Regions.Oceania,192.0,0.0,192.0,25.0,192.0,10.0,15.214091,-15.777289999999999,2019.0,0.9990402460098268,Geography,Oceania
1946,2.0,3590021.0,"Money, Money, Money",0.9973783493041992,Q929870,Culture.Media.Music,192.0,124622.79983976006,192.0,11.0,192.0,10.6418915,2.9557917000000002,11.9821205,3526.0,1.9947566986083984,Culture,Music
1947,35.0,3592021.0,Professional life of George W. Bush,0.2942249774932861,Q7248084,STEM.STEM*,190.0,2908.2292712438316,119.0,0.0,60.0,31.824324,10.4821205,1.3260943,6157.0,0.0,STEM,STEM*
1948,1.0,3592832.0,Julie Banderas,0.99745911359787,Q6308034,Culture.Biography.Biography*,54.0,0.0,159.0,5.0,0.0,10.0,17.470978,13.545932,2218.0,0.99745911359787,Culture,Biography*
1949,10.0,3594724.0,Home Depot Coach of the Year Award,0.7718535065650941,Q5888318,Culture.Sports,240.0,12330.563978957602,174.0,23.0,0.0,15.777026999999999,14.96846,-14.744381,1812.0,7.718535065650941,Culture,Sports
1950,6.0,3594951.0,Operation Python,0.59267657995224,Q3533435,History_and_Society.Military_and_warfare,190.0,3248.883669687685,119.0,0.0,60.0,13.209458999999999,-16.266560000000002,-2.3099327,6635.0,3.55605947971344,History_and_Society,Military_and_warfare
1951,1.0,3600962.0,Lee Aaker,0.9996055364608764,Q685709,Culture.Biography.Biography*,149.0,0.0,127.0,7.0,0.0,10.0,17.468359,14.854815499999999,2768.0,0.9996055364608764,Culture,Biography*
