,Label,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality,Qid
9803103,George Moala,12.903226,0,160,220,-21.757294,23.614048,9803103,2,23,0.0,Q5542527
9833878,Coupe Davis 2017,36.129032,41,139,0,-19.632816,-11.704225,9833878,10,8,176.7148361138503,Q26927414
9840353,Médecin de campagne,12.903226,0,168,183,17.458324,-19.156961,9840353,2,5,0.0,Q23722461
9852308,Dueling Banjos,10.0,253,0,107,-22.981958,-22.63483,9852308,1,22,0.0,Q5312200
9899638,Adopte un veuf,15.806452,235,44,170,-8.869348,-12.638462,9899638,3,20,742.3333333333421,Q22672807
9934030,Famille Consigny,21.612904,255,42,47,-5.2365727,-6.9133253,9934030,5,1,5019.822272535509,Q23783078
9945985,Léa Wiazemsky,15.806452,193,77,88,-10.018192,9.763779,9945985,3,9,0.0,Q23833719
10042858,Kamala Harris,10.0,152,129,0,-8.910075,-2.0940614,10042858,1,6,0.0,Q10853588
10090752,Charlotte Namura,10.0,54,124,233,-18.805212,7.5230293,10090752,1,7,0.0,Q24939771
10158245,Nikoloz Basilashvili,12.903226,0,164,49,11.684821,18.057936,10158245,2,14,0.0,Q16297666
10165844,Lance Stroll,36.129032,192,192,192,9.153002,-21.148521,10165844,10,17,2863.533333333281,Q16238921
10172195,Lando Norris,18.709677,192,192,192,-16.096481,-15.890431,10172195,4,17,2.25,Q22007193
10206204,Kenny Tete,10.0,0,148,245,-21.275461,-24.217888,10206204,1,15,0.0,Q14495103
10323070,Youssef En-Nesyri,12.903226,235,94,0,16.666508,10.96573,10323070,2,3,1117.0,Q26262219
10343562,Championnat du monde masculin de volley-ball 2018,15.806452,41,139,0,-1.9827058,9.809638,10343562,3,8,0.0,Q18417968
10354837,The Divine Feminine,15.806452,185,97,239,0.13320343,-4.7767844,10354837,3,10,0.0,Q26252679
10451628,Albian Ajeti,15.806452,235,94,0,-24.410019,-17.086725,10451628,3,3,1117.0,Q16148161
10455694,James Mattis (général),12.903226,152,129,0,15.786484,-1.3620476,10455694,2,6,0.0,Q267902
10509819,Julien Arruti,15.806452,235,44,170,-18.333134,8.431866,10509819,3,20,0.0,Q28105126
10525124,Benjamin Brillaud,10.0,0,168,183,-16.587032,5.3797984,10525124,1,21,0.0,Q28495674
10581357,Article 377 du code pénal indien,10.0,0,126,172,-1.8068748,-2.4121392,10581357,1,11,0.0,Q2586755
10583229,John F. Kelly,12.903226,152,129,0,4.484276,19.748934,10583229,2,6,0.0,Q6232322
10606182,Federico Chiesa,18.709677,0,148,245,-2.048992,21.064013,10606182,4,15,2252.4269841269847,Q26704703
10615077,Nayef Aguerd,10.0,235,94,0,-12.554531,2.7835958,10615077,1,3,0.0,Q28872567
10678441,Affaire Troadec,10.0,0,134,74,-8.88742,13.780221,10678441,1,19,0.0,Q29014754
10719679,Kai Havertz,10.0,235,94,0,22.453577,5.5505357,10719679,1,3,0.0,Q27310755
10775919,Jean-Eudes Aholou,12.903226,54,124,233,17.825783,19.439554,10775919,2,7,0.0,Q27736740
10785498,Detroit (film),18.709677,60,163,0,-10.861942,-15.566996,10785498,4,13,1118.0,Q27965056
10851158,Sibeth Ndiaye,33.225807,193,77,88,-21.330929,16.309824,10851158,9,9,2235.724760370349,Q29867485
10855776,Emmanuelle Ménard,12.903226,193,77,88,19.876856,-13.695897,10855776,2,9,6108.768813330829,Q29896234
10868350,Frédérique Vidal,33.225807,193,77,88,3.1432886,-3.7448022,10868350,9,9,40.14150078851315,Q28950190
10868473,Colovic,10.0,193,77,88,0.87426436,12.910471,10868473,1,9,0.0,Q15794701
10887021,Sada Thioub,18.709677,54,124,233,-15.1285,-15.110123,10887021,4,7,0.0,Q19578067
10887455,Vladimir Consigny,15.806452,255,42,47,14.55675,-17.27111,10887455,3,1,232.223809523805,Q30118257
10893608,Marie Lebec,15.806452,193,77,88,-1.373166,-10.393315,10893608,3,9,1062.784693314678,Q30336075
