,Id,Label,modularity_class,Cluster,Degree,clustering,Qid
1318,23032578,Motions of no confidence in the United Kingdom,1,2,2,1.0,Q17014425
1319,3900438,Ten Thousand Men of Harvard,19,0,4,0.833333,Q7699347
1320,21398374,RK-55,15,3,4,0.5,Q1358725
1321,59145778,Lawrence County Academy,21,2,1,0.0,Q60775991
1322,1376808,William J. Tuttle,2,4,1,0.0,Q1148054
1323,15832990,List of Best in Show winners of the Westminster Kennel Club Dog Show,4,4,3,0.666667,Q6563797
1324,3145948,The Gunfighter,2,4,1,0.0,Q1196628
1325,1730246,Tifo,19,0,3,0.0,Q930930
1326,10726486,Junoon (1978 film),16,8,2,0.0,Q6314288
1327,5731860,Diddy (DJ),11,17,2,1.0,Q5274100
1328,777832,The Sheltering Sky,23,7,4,1.0,Q1988792
1329,19381762,Lou Gehrig,28,2,6,0.4,Q357444
1330,24226858,Little Big Shot,6,5,5,0.1,Q6649096
1331,26487038,"Richie Gray (rugby union, born 1989)",12,1,15,0.28571399999999997,Q209365
1332,14396960,Virginia Admiral,16,8,1,0.0,Q7815833
1333,47090372,Mars Orbiter Mission 2,17,3,22,0.727273,Q21027956
1334,28892600,Nyck de Vries,15,3,11,0.763636,Q771382
1335,14555068,Barbara Bennett,6,5,1,0.0,Q1983067
1336,421594,Mark Field,1,2,2,1.0,Q304450
1337,57839650,Legends of the Summer (EP),1,11,5,0.6,Q55616728
1338,1592854,92nd Street Y,28,2,1,0.0,Q4645852
1339,823398,Crimean Tatar language,15,3,13,0.525641,Q33357
1340,32585476,Dontrelle Inman,19,0,5,0.1,Q5296904
1341,24268484,Twice Round the Daffodils,2,7,2,0.0,Q7857875
1342,3592832,Julie Banderas,19,0,3,1.0,Q6308034
1343,2236660,Mehta Kalu,10,10,1,0.0,Q6809882
1344,6241436,Picture Perfect (1997 film),19,0,1,0.0,Q1198659
1345,1584122,Laureus World Sports Awards,12,1,4,0.166667,Q900341
1346,2928252,George Voskovec,2,4,2,0.0,Q960873
1347,2681222,Great Andamanese,5,9,25,0.51,Q1548149
1348,1008166,National Geographic Endeavour,26,8,1,0.0,Q6972883
1349,50764240,Vasilis Barkas,15,3,3,0.333333,Q24572676
1350,12199958,Teresita de Castro,15,2,6,0.666667,Q7702301
1351,207122,Nashville Sounds,11,1,1,0.0,Q2343915
1352,39752384,Eric Rogers (gridiron football),19,0,17,0.625,Q16975773
1353,1307144,Etty Hillesum,15,3,1,0.0,Q126400
1354,31750,Ukraine,15,3,153,0.020554,Q212
1355,2321610,Gurdaspur district,10,10,7,0.28571399999999997,Q146708
1356,52212816,Timothy Lafaele,12,1,2,1.0,Q27804619
1357,18330206,Joyce Jameson,4,4,1,0.0,Q535026
1358,12511698,Notre Dame Leprechaun,19,0,9,0.25,Q7063459
1359,24351218,Prema Powerteam,15,3,9,0.833333,Q2115327
1360,340200,Snowbirds,15,10,2,0.0,Q2296094
1361,33382440,Connor Shaw,19,0,3,0.333333,Q5162048
