Id,Label,modularity_class,Cluster,Degree,clustering
3032276,Danny_Vukovic,11,1,12,0.681818
15781364,In_Effect_Mode,11,17,2,1
27754406,Mustafa_Amini,11,1,12,0.742424
54402558,2017?18_Grand_Prix_of_Figure_Skating_Final,15,3,4,0
41920926,Aidil_Zafuan,11,1,3,0.666667
5975230,Ethnic_bioweapon,15,3,2,0
57489002,On_the_Ropes_(TV_series),1,11,1,0
3974688,Tommy_Bowe,12,1,17,0.566176
466798,Photorealism,2,4,4,0.666667
59082658,Starrcade_(2018),16,8,2,0
15273780,Ongan_languages,5,9,12,0.621212
5485600,Insular_dwarfism,5,9,3,1
54258722,Lloyd_Russell-Moyle,1,2,4,0.5
57997044,Azerbaijan_in_the_Junior_Eurovision_Song_Contest_2018,13,3,18,0.980392
82752,Metropolitan_county,14,9,10,0.711111
11109800,Martin_Pakula,29,6,7,0.333333
264882,Child_singer,23,7,4,0.666667
7591796,Jeanne_Little,1,11,1,0
96280,"Cass_County,_Illinois",3,2,1,0
14531758,Sebasti?n_Blanco,0,1,2,1
3423142,Russia?Ukraine_gas_disputes,15,3,8,0.535714
10885034,Pintupi_Nine,5,9,8,0.428571
158666,McLaughlin_Motor_Car_Company,21,2,10,0.555556
43821796,Tyler_Morgan,12,1,3,0.333333
24165342,Ciaran_Clark,0,1,5,0.1
8204304,Randy_McCown,19,0,1,0
4991040,FK_Jablonec,15,3,2,1
57652442,Robert_Foster_(American_football),19,0,6,0.2
766470,M?rio_Jardel,20,4,3,0.333333
44933194,History_of_the_Cleveland_Rams,19,0,4,0.666667
38752408,Jamie_Bryson,11,1,1,0
8639198,TCU_Horned_Frogs,19,0,6,0.066667
44750792,2018_Victorian_state_election,29,6,3,0.333333
44212228,Female_genital_mutilation_in_the_United_States,20,4,1,0
11300792,Akbar_Padamsee,16,8,3,1
39298148,Tyrone_Mings,0,1,5,0.3
14325560,Wooden_Legacy,6,5,11,0.636364
2821334,Large_cent,16,8,2,1
152974,Harold_Lasswell,30,6,3,0.666667
2674130,Little_Giants,19,0,7,0.047619
21534416,Matthew_Lowton,0,1,6,0.533333
33844732,The_Ten_Year_War,19,0,16,0.533333
1428952,Performance_(film),23,7,13,1
34370512,Daniel_Angelici,20,4,3,1
