,Degree,Id,Label,Modularity Class,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Views,Weight,Main topic,Subtopic
732,9.0,3877339.0,Record du monde du marathon,7.0,0.4843900501728058,Q929585,Culture.Sports,0.0,2478.531607719793,139.0,20.0,41.0,32.5,3.185879,-21.147694,18131.0,4.359510451555252,Culture,Sports
733,12.0,3877341.0,Marathon (sport),7.0,0.9802908897399902,Q40244,Culture.Sports,0.0,29397.57767373952,139.0,20.0,41.0,40.9375,19.856146,-0.6119171999999999,15025.0,11.763490676879883,Culture,Sports
734,2.0,3880270.0,Soliman (Tunisie),0.0,0.997758150100708,Q726858,Geography.Regions.Africa.Africa*,233.0,0.0,124.0,2.0,54.0,12.8125,-5.282164,-7.0029964000000025,1617.0,1.995516300201416,Geography,Africa*
735,1.0,3881247.0,Valeria Cavalli,22.0,0.998599648475647,Q3553690,Culture.Biography.Biography*,135.0,0.0,134.0,8.0,0.0,10.0,14.865269,-12.767043,2356.0,0.998599648475647,Culture,Biography*
736,2.0,3908918.0,Olivier Truchot,11.0,0.994098961353302,Q3351418,Culture.Biography.Biography*,172.0,0.0,126.0,11.0,0.0,12.8125,-9.344003,19.498047,3128.0,1.988197922706604,Culture,Biography*
737,8.0,3923431.0,Saisons 11 et 12 de Columbo,23.0,0.9706977605819702,Q3464686,Culture.Media.Television,49.0,38359.0,164.0,1.0,0.0,29.6875,12.687177,7.6394085999999986,5199.0,7.765582084655762,Culture,Television
738,3.0,3926741.0,Christian Hecq,25.0,0.997120440006256,Q2965328,Culture.Biography.Biography*,47.0,3905.242806615225,42.0,13.0,255.0,15.625,21.31383,-21.050825,1774.0,2.991361320018768,Culture,Biography*
739,1.0,3950771.0,Patrick Evenepoel,10.0,0.9871888160705566,Q2692008,Culture.Biography.Biography*,74.0,0.0,134.0,16.0,0.0,10.0,-9.735923,-20.375338,1492.0,0.9871888160705566,Culture,Biography*
740,2.0,3957922.0,Patrick Balkany,17.0,0.9993433356285096,Q945181,Culture.Biography.Biography*,192.0,9347.729999240522,192.0,14.0,192.0,12.8125,1.2687176000000002,-0.71865577,11044.0,1.9986866712570193,Culture,Biography*
741,3.0,3962000.0,Catherine Meurisse,9.0,0.99745911359787,Q2942001,Culture.Biography.Biography*,183.0,12961.724102124928,168.0,6.0,0.0,15.625,-16.997967000000006,-9.223913,2695.0,2.99237734079361,Culture,Biography*
742,9.0,3966023.0,Ashton Eaton,7.0,0.9989112615585328,Q1789,Culture.Sports,0.0,4.06433099064678,139.0,20.0,41.0,32.5,-5.870659,0.55209655,13882.0,8.990201354026796,Culture,Sports
743,4.0,3973671.0,Pontivy,21.0,0.9981998205184937,Q55905,Geography.Regions.Europe.Europe*,107.0,1153.5,0.0,14.0,253.0,18.4375,-7.95091,23.27371,3013.0,3.9927992820739746,Geography,Europe*
744,2.0,3979886.0,Jean Birnbaum,0.0,0.9626831412315368,Q3170784,Culture.Biography.Biography*,233.0,2304.0,124.0,2.0,54.0,12.8125,15.629539000000001,-2.479689,3025.0,1.9253662824630735,Culture,Biography*
