,Qid,topic,probability,page_id,page_title,wiki_db,Modularity_Class
4547,Q55080775,Culture.Biography.Women,0.55,57692313,Erika_Henningsen,enwiki,12.0
4548,Q7727869,Culture.Literature,0.92,838735,The_Courtship_of_Miles_Standish,enwiki,3.0
4549,Q440802,Culture.Sports,1.0,3853195,Yura_Movsisyan,enwiki,11.0
4550,Q440802,Culture.Biography.Biography*,0.96,3853195,Yura_Movsisyan,enwiki,11.0
4551,Q19664790,Culture.Biography.Biography*,1.0,44982419,Ryan_Pace,enwiki,2.0
4552,Q19664790,Culture.Sports,0.79,44982419,Ryan_Pace,enwiki,2.0
4553,Q94018,Culture.Biography.Biography*,0.99,106139,Alfred_Schütz,enwiki,5.0
4554,Q1025167,STEM.STEM*,0.98,21064031,Cadillac_ELR,enwiki,8.0
4555,Q1025167,STEM.Engineering,0.98,21064031,Cadillac_ELR,enwiki,8.0
4556,Q1025167,History_and_Society.Transportation,0.94,21064031,Cadillac_ELR,enwiki,8.0
4557,Q213652,Culture.Biography.Biography*,1.0,1020121,Amitai_Etzioni,enwiki,5.0
4558,Q213652,Geography.Regions.Asia.West_Asia,0.6,1020121,Amitai_Etzioni,enwiki,5.0
4559,Q172751,Culture.Sports,1.0,342991,Johnny_Herbert,enwiki,6.0
4560,Q172751,Culture.Biography.Biography*,0.98,342991,Johnny_Herbert,enwiki,6.0
4561,Q172751,Geography.Regions.Europe.Northern_Europe,0.52,342991,Johnny_Herbert,enwiki,6.0
4562,Q1057360,Culture.Media.Media*,0.96,9562999,The_Man_in_the_Iron_Mask_(1939_film),enwiki,3.0
4563,Q1057360,Culture.Media.Films,0.89,9562999,The_Man_in_the_Iron_Mask_(1939_film),enwiki,3.0
4564,Q59177944,Culture.Biography.Biography*,0.99,59150207,Melissa_Horne,enwiki,10.0
4565,Q59177944,Geography.Regions.Oceania,0.99,59150207,Melissa_Horne,enwiki,10.0
4566,Q12126317,Culture.Media.Films,1.0,19476185,Mr._Sardonicus,enwiki,3.0
4567,Q12126317,Culture.Media.Media*,1.0,19476185,Mr._Sardonicus,enwiki,3.0
4568,Q7909083,Culture.Biography.Biography*,1.0,37072819,Val_Demings,enwiki,8.0
4569,Q7909083,Geography.Regions.Americas.North_America,0.93,37072819,Val_Demings,enwiki,8.0
4570,Q7909083,History_and_Society.Politics_and_government,0.87,37072819,Val_Demings,enwiki,8.0
4571,Q17180604,Culture.Biography.Biography*,1.0,43041177,Jennifer_French_(politician),enwiki,8.0
4572,Q17180604,Geography.Regions.Americas.North_America,0.92,43041177,Jennifer_French_(politician),enwiki,8.0
4573,Q725397,Culture.Biography.Biography*,1.0,3500262,"Paul_Robinson_(footballer,_born_December_1978)",enwiki,11.0
4574,Q725397,Culture.Sports,1.0,3500262,"Paul_Robinson_(footballer,_born_December_1978)",enwiki,11.0
4575,Q725397,Geography.Regions.Europe.Northern_Europe,0.97,3500262,"Paul_Robinson_(footballer,_born_December_1978)",enwiki,11.0
4576,Q725397,Geography.Regions.Europe.Europe*,0.96,3500262,"Paul_Robinson_(footballer,_born_December_1978)",enwiki,11.0
4577,Q1424397,Culture.Sports,1.0,2147572,Kendall_Gill,enwiki,3.0
4578,Q1424397,Culture.Biography.Biography*,0.99,2147572,Kendall_Gill,enwiki,3.0
4579,Q1424397,Geography.Regions.Americas.North_America,0.99,2147572,Kendall_Gill,enwiki,3.0
4580,Q55322357,Culture.Media.Television,0.99,57112196,Jessica_Jones_(season_3),enwiki,3.0
4581,Q55322357,Culture.Media.Media*,0.97,57112196,Jessica_Jones_(season_3),enwiki,3.0
4582,Q55322357,Culture.Visual_arts.Comics_and_Anime,0.9,57112196,Jessica_Jones_(season_3),enwiki,3.0
4583,Q55322357,Geography.Regions.Americas.North_America,0.78,57112196,Jessica_Jones_(season_3),enwiki,3.0
4584,Q55322357,Culture.Visual_arts.Visual_arts*,0.75,57112196,Jessica_Jones_(season_3),enwiki,3.0
4585,Q55322357,Culture.Literature,0.72,57112196,Jessica_Jones_(season_3),enwiki,3.0
4586,Q5246265,Culture.Biography.Biography*,1.0,10046340,Dean_Keates,enwiki,11.0
4587,Q5246265,Culture.Sports,1.0,10046340,Dean_Keates,enwiki,11.0
4588,Q6603792,Geography.Regions.Americas.North_America,0.65,34129690,List_of_Washington_Huskies_bowl_games,enwiki,2.0
4589,Q1195431,Culture.Media.Media*,0.99,4298666,The_Man_Who_Fell_to_Earth,enwiki,12.0
4590,Q1195431,Culture.Media.Media*,0.99,47419937,The_Man_Who_Fell_to_Earth,enwiki,12.0
4591,Q1195431,Culture.Media.Films,0.99,4298666,The_Man_Who_Fell_to_Earth,enwiki,12.0
4592,Q1195431,Culture.Media.Films,0.99,47419937,The_Man_Who_Fell_to_Earth,enwiki,12.0
4593,Q6572509,Geography.Regions.Americas.North_America,0.9,30309486,List_of_Grey_Cup_halftime_shows,enwiki,2.0
4594,Q1284886,History_and_Society.Society,1.0,9695340,Tuzla_Island,enwiki,6.0
4595,Q1284886,Geography.Regions.Europe.Eastern_Europe,0.81,9695340,Tuzla_Island,enwiki,6.0
4596,Q30119186,Culture.Biography.Biography*,0.99,54215010,Clint_Watts,enwiki,5.0
