,Label,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
1226322,Julie_Leclerc,22.5,235,94,0,-10.588461,0.768878,1226322,6,1,2840.675171913196
1226706,Vadim_Schneider,12.5,193,77,88,10.404121,23.014324,1226706,2,5,0.0
1227103,Sylvie_Goulard,30.0,0,168,183,-19.825947,-7.1584992,1227103,9,12,20.235953012702243
1230347,Maryse_Gildas,40.0,235,94,0,11.451,18.390987,1230347,13,1,17370.51378194921
1231525,Organisation_révolutionnaire_du_17-Novembre,12.5,0,148,245,0.61320555,-20.641687,1231525,2,15,0.0
1231558,Mathieu_Bastareaud,15.0,235,44,170,-16.987902,-18.232841,1231558,3,9,0.5
1232940,Financement_des_campagnes_présidentielles_en_France,10.0,255,42,47,-23.679354,14.48679,1232940,1,8,0.0
1234915,Dante_(football),15.0,60,163,0,5.2312407,-17.297491,1234915,3,2,4101.0
1240541,Barbara_Kelsch,17.5,54,124,233,-8.88601,-1.1398007,1240541,4,3,10195.207926203173
1250667,Jérémy_Morel,17.5,235,44,170,16.10638,-7.9741316,1250667,4,2,33229.530678832656
1256577,88_Minutes,10.0,185,97,239,16.979622,-18.525047,1256577,1,18,0.0
1259969,Destinée_(chanson),10.0,185,97,239,-16.726665,-11.892135,1259969,1,5,0.0
1263580,Institut_supérieur_de_gestion,10.0,0,168,183,7.6809287,-16.165895,1263580,1,12,0.0
1269279,Chris_Cooper,15.0,0,134,74,-2.343183,3.9736814,1269279,3,4,704.0582797096245
1272424,Jango_Edwards,15.0,235,94,0,-23.625349,6.0015383,1272424,3,1,0.0
1272426,Roger_Knobelspiess,10.0,193,77,88,-10.795385,-17.828074,1272426,1,5,0.0
1276955,1905_(téléfilm),12.5,0,157,116,19.150017,-13.785947,1276955,2,23,1369.0
1280867,Gaspard_Manesse,10.0,0,134,135,13.500254,-4.057826,1280867,1,5,0.0
1281895,Sophie_Garel,22.5,235,94,0,-14.943806,24.115585,1281895,6,1,2219.2673786274754
