,Label,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
1820752,Teen_Age_Message,23.75,192,192,192,13.828151,-17.276184,1820752,12,40,4.333333333333334
1822878,Stealing_Beauty,31.25,192,192,192,-1.5818256,10.234861,1822878,18,18,15234.096750696117
1825495,AFC_Eskilstuna,11.25,69,155,0,-17.868454,16.818466,1825495,2,4,4602.0
1827152,George_Barnes_(cinematographer),16.25,0,174,240,10.13507,-13.715834,1827152,6,6,76547.20382669286
1827544,The_Remixes_(Mariah_Carey_album),12.5,192,192,192,-20.007294,-21.156643,1827544,3,39,9203.0
1827729,North_East_Cambridgeshire_(UK_Parliament_constituency),11.25,0,159,54,-23.052494,3.845539,1827729,2,26,0.0
1828580,Matt_Jones_(wide_receiver),11.25,60,119,190,19.202166,3.0366554,1828580,2,10,0.0
1829658,Christchurch_(UK_Parliament_constituency),10.0,0,159,54,11.510713,-21.623743,1829658,1,26,0.0
1829660,Devizes_(UK_Parliament_constituency),10.0,0,159,54,-23.698288,7.6264277,1829660,1,26,0.0
1829803,Hastings_and_Rye_(UK_Parliament_constituency),10.0,0,159,54,9.274323,3.6455567,1829803,1,26,0.0
1831493,"Eagle_River,_Anchorage",17.5,192,192,192,-5.629675,-20.256006,1831493,7,25,4615.333333333333
1832776,Bobbie_Phillips,11.25,89,127,28,10.818708,12.544451,1832776,2,7,4602.0
1833654,Diverging_diamond_interchange,15.0,254,0,145,-22.934387,-18.982124,1833654,5,19,60370.68567370724
1841727,Robert_Kubica,12.5,192,192,192,18.806509,22.33935,1841727,3,41,9203.0
1846227,Dick_Diamonde,12.5,187,77,156,-2.8654547,-23.311754,1846227,3,14,0.0
1846915,Stadion_Maksimir,13.75,192,192,192,5.8736,-10.946824,1846915,4,14,38287.91061625841
1847495,Stephen_Hammond,11.25,0,159,54,-3.9659197,5.203669,1847495,2,26,0.0
1848795,Faith_(Faith_Evans_album),15.0,192,192,192,-18.246479,21.132032,1848795,5,1,1.1666666666666665
1849059,Frank_G._Jackson,13.75,192,192,192,-4.3115187,-16.180851,1849059,4,28,68834.0
1851712,Film_adaptation,11.25,0,174,240,18.012352,-21.031176,1851712,2,6,9202.0
1852603,Don_James_(American_football),23.75,60,119,190,-15.449264,-4.7408996,1852603,12,10,38804.580060799
1857064,Party_of_Regions,27.5,69,155,0,14.67376,-11.853297,1857064,15,4,83088.50827739868
1858764,Uncontacted_peoples,45.0,0,135,255,5.1560373,23.046234,1858764,29,22,116618.64820920165
1859193,Theresa_Russell,17.5,192,192,192,7.100452,-15.058589,1859193,7,18,93513.28609409812
1859572,Vishnuvardhan_(actor),22.5,192,192,192,18.941961,20.15219,1859572,11,29,2696.506060605792
1861441,Ivanka_Trump,12.5,228,71,225,24.529264,-3.5323467,1861441,3,7,4718.890574586369
1863685,Fremont_Cannon,15.0,60,119,190,-7.5570407,10.96397,1863685,5,10,4314.319417213468
1867215,Giovane_?lber,12.5,69,155,0,15.737791,10.809711,1867215,3,4,1260.566432011401
1870449,Ben_Wallace_(politician),10.0,0,159,54,-5.4064236,17.01066,1870449,1,26,0.0
1872216,John_Penrose,15.0,0,159,54,11.415306,-20.50966,1872216,5,26,15317.030139361847
1872571,Brad_Smith_(American_football),10.0,60,119,190,19.424835,-7.8528214,1872571,1,10,0.0
1873585,Stephen_Crabb,17.5,0,159,54,23.217203,-21.861967,1873585,7,26,25334.598057946183
1873811,Kinnick_Stadium,16.25,60,119,190,-11.339545,-8.534027,1873811,6,10,5667.517308948594
1874193,Windsor_Park,20.0,0,163,145,-21.554289,11.349877,1874193,9,14,7783.123438178271
1874546,Arizona_Stadium,22.5,60,119,190,-22.907211,3.033134,1874546,11,10,9625.438259164986
1874571,Simon_Skjodt_Assembly_Hall,12.5,192,192,192,16.058323,-20.772469,1874571,3,32,4601.999999999999
1886311,Gerald_J._Ford_Stadium,10.0,60,119,190,-11.642254,6.420754,1886311,1,2,0.0
1886716,Murchison_meteorite,13.75,0,136,97,6.131682,-1.6324323,1886716,4,15,129126.9873750567
1888097,Orleans_Arena,10.0,0,174,240,13.894059,11.828204,1888097,1,6,0.0
1889380,J.B._(play),10.0,228,71,225,-13.926706,17.677784,1889380,1,7,0.0
1890485,Juliet_Richardson,10.0,192,192,192,5.3258896,2.4149244,1890485,1,32,0.0
1901762,Mel_White,10.0,134,102,154,7.4882746,8.570604,1901762,1,8,0.0
1901979,Vaught?Hemingway_Stadium,17.5,60,119,190,-2.556199,-8.514561,1901979,7,10,6608.575819168143
1904584,Anthony_Grant,11.25,192,192,192,-0.7580367,3.9209034,1904584,2,32,12190.68615090678
1904897,Special_edition,10.0,192,192,192,-11.904359,9.491658,1904897,1,41,0.0
1905080,Egyptian_Football_Association,26.25,0,163,145,-2.2762237,13.945443,1905080,14,14,11072.588305459483
1905264,Edwin_Sutherland,27.5,0,146,232,18.294577,16.219893,1905264,15,12,300.2293040293357
1907990,W54,11.25,69,155,0,-13.934226,-7.3128276,1907990,2,4,9201.999999999998
1908561,Karl_August_Wittfogel,15.0,0,146,232,-1.4780755,-6.644491,1908561,5,12,22879.15317460318
1911579,Bob_Waterfield,17.5,255,15,65,-0.3098704,-23.512932,1911579,7,2,17321.324915062913
1915099,Pat_Haden,20.0,60,119,190,-20.178862,-5.6478577,1915099,9,10,33105.48197080715
1915735,Terry_Rossio,12.5,0,127,149,-16.757788,19.184217,1915735,3,1,2.1999999999999997
1921713,G?sta_Esping-Andersen,10.0,0,146,232,11.761312,18.531544,1921713,1,12,0.0
1928850,John_Roberts,15.0,228,71,225,14.654333,-24.14898,1928850,5,7,18402.0
1931092,S-400_missile_system,15.0,69,155,0,19.630835,-18.787498,1931092,5,4,9215.83520856214
1938787,Billy_Brownless,10.0,192,192,192,6.5296264,6.0173354,1938787,1,34,0.0
1939796,Slough_Town_F.C.,11.25,0,163,145,2.5239756,15.975187,1939796,2,14,9202.0
1940533,"Oh,_God!_(film)",11.25,0,127,149,-9.118825,19.004547,1940533,2,1,4602.0
1962234,Ole_Miss_Rebels,13.75,60,119,190,-1.2647111,-11.746493,1962234,4,10,3969.0166205207224
1963198,Seletar_Airport,10.0,69,155,0,1.2644244,-16.212898,1963198,1,4,0.0
1965169,Kenechi_Udeze,10.0,60,119,190,-0.2497967,12.476131,1965169,1,2,0.0
1966201,Pat_Sullivan_(American_football),21.25,0,145,175,15.501307,-3.9297462,1966201,10,10,43586.00319606877
1966209,Karl_Mecklenburg,10.0,255,15,65,-22.931698,21.496578,1966209,1,7,0.0
1970335,List_of_Walt_Disney_Pictures_films,20.0,0,127,149,-10.811473,-2.7941048,1970335,9,1,108122.80257046853
1972702,Colonel_Reb,13.75,60,119,190,21.261639,5.281886,1972702,4,10,59.771087889974844
1972871,Robinson_Can?,18.75,254,0,145,6.249823,9.548866,1972871,8,36,54470.94056874935
